epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2630910575389862,1.8513169288635254,0.001,0.2514524757862091,2.0002293586730957
1,0.37007296085357666,1.6542004346847534,0.001,0.33743900060653687,1.8075367212295532
2,0.44812753796577454,1.505645751953125,0.001,0.4701371192932129,1.4321256875991821
3,0.48635584115982056,1.4177219867706299,0.001,0.4541018009185791,1.4896628856658936
4,0.5055314302444458,1.3758456707000732,0.001,0.48942598700523376,1.392665982246399
5,0.5223305821418762,1.3404663801193237,0.001,0.39042529463768005,1.9522696733474731
6,0.5335983037948608,1.31605863571167,0.001,0.4915175437927246,1.4412989616394043
7,0.5417930483818054,1.293131709098816,0.001,0.5296304821968079,1.3305457830429077
8,0.5484307408332825,1.279524803161621,0.001,0.5073204636573792,1.3784985542297363
9,0.5566664338111877,1.2636222839355469,0.001,0.4464327394962311,1.6843599081039429
10,0.5692452788352966,1.2421715259552002,0.001,0.556820809841156,1.2304511070251465
11,0.5662952065467834,1.2337802648544312,0.001,0.5675110220909119,1.2004822492599487
12,0.5750225782394409,1.2189569473266602,0.001,0.5475249886512756,1.2714388370513916
13,0.5806359648704529,1.214391827583313,0.001,0.5905182361602783,1.175295114517212
14,0.581865131855011,1.2064951658248901,0.001,0.573088526725769,1.1990104913711548
15,0.588994562625885,1.1950273513793945,0.001,0.5512433052062988,1.257370114326477
16,0.5929279923439026,1.184971570968628,0.001,0.573088526725769,1.213720679283142
17,0.5973531603813171,1.175909161567688,0.001,0.5442714691162109,1.435231328010559
18,0.6100549101829529,1.147379994392395,0.0005,0.6051592230796814,1.128025770187378
19,0.6136196255683899,1.130975365638733,0.0005,0.617243766784668,1.0915814638137817
20,0.6208719611167908,1.1136494874954224,0.0005,0.6088775396347046,1.106633186340332
21,0.6212407350540161,1.109743356704712,0.0005,0.615617036819458,1.0935338735580444
22,0.6245595812797546,1.1022695302963257,0.0005,0.5672786235809326,1.272626280784607
23,0.6241908073425293,1.1034117937088013,0.0005,0.5958633422851562,1.132385492324829
24,0.6374252438545227,1.0737055540084839,0.00025,0.6281663775444031,1.059505820274353
25,0.6357862949371338,1.0651835203170776,0.00025,0.6337438821792603,1.0620901584625244
26,0.6415635943412781,1.066118836402893,0.00025,0.638159453868866,1.0500799417495728
27,0.6387364268302917,1.058557391166687,0.00025,0.6307227611541748,1.0560286045074463
28,0.6405802369117737,1.0565950870513916,0.00025,0.6044620275497437,1.1818124055862427
29,0.6460297107696533,1.0450078248977661,0.00025,0.6337438821792603,1.065366268157959
30,0.6464803814888,1.0412904024124146,0.00025,0.6235184669494629,1.0867336988449097
31,0.6520528197288513,1.0270355939865112,0.000125,0.6444341540336609,1.0306744575500488
32,0.6531590819358826,1.0236457586288452,0.000125,0.6402509808540344,1.0401614904403687
33,0.6546751260757446,1.019038200378418,0.000125,0.6404833793640137,1.0404338836669922
34,0.6586905121803284,1.0134142637252808,0.000125,0.6239832639694214,1.087188482284546
